,name,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
159,Farming Simulator 17,PS4,2016.0,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
160,The Crew 2,PS4,2018.0,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
161,Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82
162,ARK: Survival Evolved,PS4,2017.0,Action-Adventure,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
163,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015.0,Action-Adventure,Square Enix,0.21,0.14,0.39,0.07,0.81
164,Assassin's Creed The Ezio Collection,PS4,2016.0,Action-Adventure,Ubisoft,0.14,0.52,0.02,0.12,0.79
165,Final Fantasy XIV: A Realm Reborn,PS4,2014.0,Other,Square Enix,0.35,0.23,0.08,0.12,0.79
166,Destiny: The Collection,PS4,2016.0,Shooter,Activision,0.24,0.4,0.02,0.12,0.78
167,F1 2016 (Codemasters),PS4,2016.0,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
168,Hitman (2016),PS4,2017.0,Action-Adventure,Square Enix,0.24,0.36,0.06,0.11,0.78
169,Pro Evolution Soccer 2015,PS4,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76
170,LEGO City Undercover,PS4,2017.0,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
171,Pro Evolution Soccer 2018,PS4,2017.0,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
172,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75
173,Pro Evolution Soccer 2017,PS4,2016.0,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
174,Sniper Elite 3,PS4,2014.0,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74
175,MLB 14 The Show,PS4,2014.0,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73
176,WipEout Omega Collection,PS4,2017.0,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72
177,Deus Ex: Mankind Divided,PS4,2016.0,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
178,The LEGO Movie Videogame,PS4,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
179,Marvel vs. Capcom: Infinite,PS4,2017.0,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
180,Dark Souls II,PS4,2015.0,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
181,Yakuza 6,PS4,2016.0,Action-Adventure,Sega,0.16,0.1,0.38,0.05,0.69
182,F1 2015,PS4,2015.0,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
183,METRO 2033,PS4,2014.0,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
184,Rocksmith 2014,PS4,2014.0,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67
185,NHL 16,PS4,2015.0,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66
186,Plants vs Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
187,Tales of Berseria,PS4,2016.0,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
188,Yakuza Zero: The Place of Oath,PS4,2015.0,Action-Adventure,Sega,0.22,0.16,0.19,0.08,0.65
189,One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
190,Batman: Return to Arkham,PS4,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
191,Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63
192,LEGO The Hobbit,PS4,2014.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62
193,World of Final Fantasy,PS4,2016.0,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
194,F1 2017,PS4,2017.0,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
195,NHL 15,PS4,2014.0,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62
196,Knowledge is Power,PS4,2017.0,Other,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61
197,L.A. Noire,PS4,2017.0,Action-Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6
198,Hidden Agenda,PS4,2017.0,Action-Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59
199,Call of Duty: Modern Warfare Remastered,PS4,2017.0,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
200,Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
201,The Lego Ninjago Movie Videogame,PS4,2017.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57
202,Resident Evil: Revelations 2,PS4,2015.0,Action-Adventure,Capcom,0.14,0.25,0.11,0.07,0.57
203,Rock Band 4,PS4,2015.0,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57
204,NHL 18,PS4,2017.0,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57
