,name,console,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
10062,Dementium: The Ward,DS,2007.0,Shooter,SouthPeak Games,0.15,0.01,0.0,0.01,0.17
10063,Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action-Adventure,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17
10064,Dragon Quest X,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17
10065,Learning to Spell,DS,2010.0,Other,505 Games,0.16,0.0,0.0,0.01,0.17
10066,TRON: Evolution,DS,2010.0,Action-Adventure,Disney Interactive Studios,0.11,0.04,0.0,0.01,0.17
10067,Sudoku Gridmaster,DS,2006.0,Puzzle,Nintendo,0.13,0.02,0.0,0.01,0.17
10068,NASCAR '14,X360,2014.0,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17
10069,Super Power League,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17
10070,Bakugan Battle Brawlers: Defenders of the Core,PS3,2010.0,Action-Adventure,Activision,0.14,0.01,0.0,0.02,0.17
10071,Green Lantern: Rise of the Manhunters,PS3,2011.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.09,0.05,0.0,0.02,0.17
10072,Street Fighter Alpha 2,SNES,1996.0,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17
10073,25 to Life,XB,2006.0,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17
10074,Squeeballs Party,DS,2009.0,Puzzle,Performance Designed Products,0.15,0.0,0.0,0.01,0.17
10075,Naval Assault: The Killing Tide,X360,2010.0,Simulation,505 Games,0.08,0.07,0.0,0.02,0.17
10076,NASCAR '15,X360,2015.0,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17
10077,NCAA Basketball 09,PS3,2008.0,Sports,Electronic Arts,0.15,0.0,0.0,0.01,0.17
10078,Sega Superstars,PS2,2004.0,Other,Sega,0.08,0.06,0.0,0.02,0.17
10079,MLB 11: The Show,PSP,2011.0,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.02,0.17
10080,Bomberman Land,Wii,2007.0,Other,Rising Star Games,0.11,0.01,0.03,0.01,0.17
10081,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009.0,Action-Adventure,Take-Two Interactive,0.15,0.0,0.0,0.01,0.17
10082,Midway Arcade Treasures,GC,2003.0,Other,Midway Games,0.13,0.03,0.0,0.0,0.17
10083,Leisure Suit Larry: Magna Cum Laude,XB,2004.0,Action-Adventure,Vivendi Games,0.12,0.04,0.0,0.01,0.17
10084,Mousetrap / Operation / Simon,GBA,2005.0,Other,DSI Games,0.12,0.04,0.0,0.0,0.17
10085,Pac-Man World 3,DS,2005.0,Platform,Namco Bandai Games,0.15,0.0,0.0,0.01,0.17
10086,Shawn Johnson Gymnastics,Wii,2010.0,Sports,Zoo Games,0.16,0.0,0.0,0.01,0.17
10087,NBA 09: The Inside,PS2,2008.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17
10088,One Piece: Pirate Warriors 3,PSV,2015.0,Action-Adventure,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17
10089,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17
10090,Resident Evil,SAT,1997.0,Action-Adventure,Capcom,0.0,0.0,0.17,0.0,0.17
10091,TOEIC Test Training DS,DS,2007.0,Other,IE Institute,0.0,0.0,0.17,0.0,0.17
10092,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.0,0.0,0.17,0.0,0.17
10093,ZhuZhu Puppies,DS,2011.0,Simulation,Activision,0.12,0.03,0.0,0.01,0.17
10094,Cubivore: Survival of the Fittest,GC,2002.0,Action-Adventure,Nintendo,0.01,0.0,0.15,0.0,0.17
10095,7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17
10096,FlatOut,XB,2004.0,Racing,Empire Interactive,0.12,0.04,0.0,0.01,0.17
10097,Chaotic: Shadow Warriors,PS3,2009.0,Action-Adventure,Activision,0.15,0.0,0.0,0.02,0.17
10098,Mr. Do!'s Castle,2600,1983.0,Action-Adventure,Parker Bros.,0.15,0.01,0.0,0.0,0.17
10099,Death Trap,2600,1982.0,Action-Adventure,Avalon Interactive,0.15,0.01,0.0,0.0,0.17
10100,Armor Ambush,2600,1981.0,Action-Adventure,Mattel Interactive,0.15,0.01,0.0,0.0,0.17
10101,Parodius,SAT,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.17
10102,Easy Piano,DS,2009.0,Other,Game Life,0.04,0.11,0.0,0.02,0.16
10103,Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,0.13,0.02,0.0,0.01,0.16
10104,Taz Wanted,PS2,2002.0,Platform,Atari,0.08,0.06,0.0,0.02,0.16
10105,Far Cry: Primal,PC,2016.0,Action-Adventure,Ubisoft,0.04,0.11,0.0,0.01,0.16
10106,Sid Meier's Civilization IV,PC,2005.0,Other,Take-Two Interactive,0.02,0.12,0.0,0.03,0.16
10107,Zoo Keeper,DS,2004.0,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.01,0.16
10108,Phantasy Star Online 2,PSV,2013.0,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16
10109,Vehicular Combat League presents Motor Mayhem,PS2,2001.0,Racing,Atari,0.08,0.06,0.0,0.02,0.16
10110,Chuck E. Cheese's Party Games,Wii,2010.0,Other,UFO Interactive,0.15,0.0,0.0,0.01,0.16
10111,Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.01,0.16
10112,PoPoLoCrois: Hajimari no Bouken,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.16,0.0,0.16
10113,Star Wars: Super Bombad Racing,PS2,2001.0,Racing,LucasArts,0.08,0.06,0.0,0.02,0.16
10114,TransFormers Animated: The Game,DS,2008.0,Action-Adventure,Activision,0.15,0.0,0.0,0.01,0.16
10115,Hamster Heroes,Wii,2008.0,Puzzle,Popcorn Arcade,0.16,0.0,0.0,0.0,0.16
10116,Hot Wheels Velocity X,GBA,2002.0,Racing,THQ,0.12,0.04,0.0,0.0,0.16
10117,Driver: San Francisco,Wii,2011.0,Racing,Ubisoft,0.06,0.09,0.0,0.02,0.16
10118,Alien Resurrection,PS,2000.0,Shooter,Fox Interactive,0.09,0.06,0.0,0.01,0.16
10119,World Tour Soccer 2005,PS2,2004.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.16
10120,Disney Friends,DS,2007.0,Simulation,Disney Interactive Studios,0.12,0.03,0.0,0.01,0.16
10121,ESPN College Hoops,PS2,2003.0,Sports,Sega,0.08,0.06,0.0,0.02,0.16
10122,Dengeki Bunko Fighting Climax,PS3,2014.0,Fighting,Sega,0.05,0.0,0.09,0.01,0.16
10123,F1 Championship Season 2000,PS2,2000.0,Racing,Electronic Arts,0.06,0.05,0.03,0.02,0.16
10124,Leisure Suit Larry: Box Office Bust,X360,2009.0,Action-Adventure,Codemasters,0.14,0.01,0.0,0.01,0.16
10125,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
10126,Robotech: Battlecry,GC,2002.0,Shooter,TDK Mediactive,0.13,0.03,0.0,0.0,0.16
10127,Zapper: One Wicked Cricket!,PS2,2002.0,Platform,Infogrames,0.08,0.06,0.0,0.02,0.16
10128,Bomberman Land,PS,2000.0,Other,Hudson Soft,0.0,0.0,0.15,0.01,0.16
10129,Clash of the Titans,X360,2010.0,Action-Adventure,Namco Bandai Games,0.08,0.06,0.0,0.02,0.16
10130,Pro Evolution Soccer 2014,PSP,2013.0,Action-Adventure,Konami Digital Entertainment,0.0,0.02,0.14,0.0,0.16
10131,Paws & Claws: Pet Resort,GBA,2006.0,Simulation,THQ,0.12,0.04,0.0,0.0,0.16
10132,Kya: Dark Lineage,PS2,2003.0,Action-Adventure,Atari,0.08,0.06,0.0,0.02,0.16
10133,Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16
10134,Curious George,GBA,2006.0,Action-Adventure,Namco Bandai Games,0.12,0.04,0.0,0.0,0.16
10135,Stronghold 3,PC,2011.0,Other,Unknown,0.06,0.1,0.0,0.0,0.16
10136,Lethal Skies II,PS2,2003.0,Simulation,Sammy Corporation,0.08,0.06,0.0,0.02,0.16
10137,F1 2011,3DS,2011.0,Racing,Codemasters,0.07,0.08,0.0,0.02,0.16
10138,Kamaitachi no Yoru Ã 3,PS2,2006.0,Action-Adventure,Sega,0.0,0.0,0.16,0.0,0.16
10139,Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,0.13,0.0,0.02,0.01,0.16
10140,Tom and Jerry: Infurnal Escape,GBA,2003.0,Action-Adventure,Ubisoft,0.12,0.04,0.0,0.0,0.16
10141,NCAA Football 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.15,0.0,0.0,0.01,0.16
10142,Splatterhouse,PS3,Unknown,Action-Adventure,Namco Bandai Games,0.13,0.02,0.0,0.02,0.16
10143,The Legend of Heroes VII: The Trail of Zero,PSP,2010.0,Role-Playing,Falcom Corporation,0.0,0.0,0.16,0.0,0.16
10144,Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Action-Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16
10145,King's Field,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.16
10146,Let's Ride: Sunshine Stables,GBA,2005.0,Sports,DTP Entertainment,0.12,0.04,0.0,0.0,0.16
10147,World Stadium 4,PS,2000.0,Sports,Namco Bandai Games,0.0,0.0,0.15,0.01,0.16
10148,Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006.0,Action-Adventure,Disney Interactive Studios,0.15,0.0,0.0,0.01,0.16
10149,Midway Arcade Treasures 2,GC,2004.0,Other,Midway Games,0.13,0.03,0.0,0.0,0.16
10150,Hot Wheels World Race,GC,2003.0,Racing,THQ,0.13,0.03,0.0,0.0,0.16
10151,San Goku Shi Taisen DS,DS,2007.0,Other,Sega,0.0,0.0,0.16,0.0,0.16
10152,Monster Jam,Wii,2007.0,Racing,Activision,0.15,0.0,0.0,0.01,0.16
10153,Kawa no Nushi Tsuri,PS,1998.0,Sports,Victor Interactive,0.0,0.0,0.15,0.01,0.16
10154,Castlevania Judgment,Wii,2008.0,Fighting,Konami Digital Entertainment,0.12,0.02,0.01,0.01,0.16
10155,Magic: The Gathering - Battlegrounds,XB,2003.0,Other,Atari,0.12,0.03,0.0,0.01,0.16
10156,N2O: Nitrous Oxide,PS,1998.0,Racing,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.16
10157,Dancing With The Stars,PS2,2007.0,Other,Activision,0.08,0.06,0.0,0.02,0.16
10158,Apache: Air Assault,X360,2010.0,Simulation,Activision,0.12,0.03,0.0,0.01,0.16
10159,Aliens: Infestation,DS,2011.0,Action-Adventure,Sega,0.09,0.05,0.0,0.02,0.16
10160,Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,Marvelous Entertainment,0.05,0.0,0.1,0.01,0.16
10161,Angry Birds Trilogy,PS3,2012.0,Action-Adventure,Activision,0.12,0.02,0.0,0.03,0.16
10162,Otogirisou,SNES,1992.0,Action-Adventure,ChunSoft,0.0,0.0,0.16,0.0,0.16
10163,SD Gundam G Generation 3D,3DS,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
10164,Crash Tag Team Racing,GC,2005.0,Racing,Vivendi Games,0.12,0.03,0.0,0.0,0.16
10165,El Shaddai: Ascension of the Metatron,X360,2011.0,Action-Adventure,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16
10166,NPPL: Championship Paintball 2009,PS3,2008.0,Shooter,Activision Value,0.15,0.0,0.0,0.01,0.16
10167,True Swing Golf,DS,2005.0,Sports,Nintendo,0.11,0.0,0.04,0.01,0.16
10168,TimeSplitters: Future Perfect,XB,2005.0,Shooter,Electronic Arts,0.12,0.03,0.0,0.01,0.16
10169,Hannah Montana: Rock Out the Show,PSP,2009.0,Other,Disney Interactive Studios,0.13,0.01,0.0,0.02,0.16
10170,Zoo Hospital,Wii,2008.0,Simulation,Majesco Entertainment,0.14,0.01,0.0,0.01,0.16
10171,Family Feud Decades,Wii,2010.0,Other,Ubisoft,0.15,0.0,0.0,0.01,0.16
10172,Midway Arcade Treasures 3,PS2,2005.0,Other,Midway Games,0.08,0.06,0.0,0.02,0.16
10173,Goosebumps HorrorLand,Wii,2008.0,Action-Adventure,Scholastic Inc.,0.15,0.0,0.0,0.01,0.16
10174,Dr. Muto,PS2,2002.0,Platform,Midway Games,0.08,0.06,0.0,0.02,0.16
10175,Thrillville: Off the Rails,X360,2007.0,Other,LucasArts,0.13,0.02,0.0,0.01,0.16
10176,DS Rakubiki Jiten,DS,2005.0,Other,Nintendo,0.0,0.0,0.16,0.0,0.16
10177,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005.0,Action-Adventure,Activision,0.08,0.06,0.0,0.02,0.16
10178,Fatal Frame II: Crimson Butterfly,PS2,2003.0,Action-Adventure,Ubisoft,0.08,0.06,0.0,0.02,0.16
10179,Murdered: Soul Suspect,XOne,2014.0,Action-Adventure,Square Enix,0.08,0.07,0.0,0.01,0.16
10180,Shadow Man: 2econd Coming,PS2,2002.0,Action-Adventure,Acclaim Entertainment,0.08,0.06,0.0,0.02,0.16
10181,Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011.0,Other,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
10182,Dynasty Warriors 4,XB,2003.0,Action-Adventure,Tecmo Koei,0.12,0.03,0.0,0.01,0.16
10183,Warriors Orochi 3,X360,2011.0,Action-Adventure,Ubisoft Annecy,0.09,0.03,0.03,0.01,0.16
10184,Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003.0,Sports,Activision,0.08,0.06,0.0,0.02,0.16
10185,The Incredibles: Rise of the Underminer,GC,2005.0,Action-Adventure,THQ,0.12,0.03,0.0,0.0,0.16
10186,Beowulf: The Game,PS3,2007.0,Action-Adventure,Ubisoft,0.14,0.01,0.0,0.01,0.16
10187,Dewy's Adventure,Wii,2007.0,Platform,Konami Digital Entertainment,0.14,0.0,0.01,0.01,0.16
10188,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
10189,Alone in the Dark: The New Nightmare,PS,Unknown,Action-Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16
10190,The BIGS,PS3,2007.0,Sports,Take-Two Interactive,0.15,0.0,0.0,0.01,0.16
10191,Fracture,PS3,2008.0,Shooter,LucasArts,0.11,0.04,0.0,0.02,0.16
10192,Flushed Away,GC,2006.0,Platform,D3Publisher,0.12,0.03,0.0,0.0,0.16
10193,NBA Live 08,Wii,2007.0,Sports,Electronic Arts,0.14,0.0,0.0,0.01,0.16
10194,Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005.0,Role-Playing,Banpresto,0.0,0.0,0.16,0.0,0.16
10195,Hyperdimension Neptunia Victory,PS3,2012.0,Role-Playing,Compile Heart,0.05,0.03,0.06,0.02,0.16
10196,Pro Yaky? Spirits 3,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
10197,Silent Scope 3,PS2,2002.0,Shooter,Konami Digital Entertainment,0.08,0.06,0.0,0.02,0.16
10198,NASCAR Heat 2002,GBA,2002.0,Racing,Infogrames,0.12,0.04,0.0,0.0,0.16
10199,Marble Saga: Kororinpa,Wii,2009.0,Puzzle,Konami Digital Entertainment,0.09,0.05,0.0,0.01,0.16
10200,Namco Classic Fighter Collection,PS2,2008.0,Fighting,Namco Bandai Games,0.08,0.06,0.0,0.02,0.16
10201,International Superstar Soccer Deluxe,SNES,1995.0,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
10202,Family Game Night 4: The Game Show,Wii,2011.0,Other,Electronic Arts,0.12,0.03,0.0,0.01,0.16
10203,Intellivision Lives!,PS2,2003.0,Other,Play It,0.08,0.06,0.0,0.02,0.16
10204,Robots,GC,2005.0,Action-Adventure,Vivendi Games,0.12,0.03,0.0,0.0,0.16
10205,WRC 2: FIA World Rally Championship,PS3,2011.0,Racing,Ubisoft,0.0,0.12,0.0,0.04,0.16
10206,The King of Fighters XII,PS3,2009.0,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,0.16
10207,Tak: Mojo Mistake,DS,2008.0,Action-Adventure,THQ,0.15,0.0,0.0,0.01,0.16
10208,Lego Star Wars: The Force Awakens,PS3,2016.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.04,0.1,0.0,0.03,0.16
10209,Dungeon Siege: Throne of Agony,PSP,2006.0,Role-Playing,Take-Two Interactive,0.13,0.02,0.0,0.02,0.16
10210,Rio,DS,2011.0,Other,THQ,0.12,0.03,0.0,0.01,0.16
10211,SimEarth: The Living Planet,SNES,1991.0,Simulation,Imagineer,0.0,0.0,0.16,0.0,0.16
10212,Finding Nemo: Escape to the Big Blue,DS,2006.0,Action-Adventure,THQ,0.12,0.03,0.0,0.01,0.16
10213,Sengoku Basara: Chronicle Heroes,PSP,2011.0,Action-Adventure,Capcom,0.0,0.0,0.16,0.0,0.16
10214,Grease Dance,X360,2011.0,Other,505 Games,0.11,0.03,0.0,0.01,0.16
10215,Culdcept SAGA,X360,2006.0,Role-Playing,Namco Bandai Games,0.12,0.0,0.03,0.01,0.16
10216,The Wild Thornberrys: Chimp Chase,GBA,2001.0,Action-Adventure,THQ,0.11,0.04,0.0,0.0,0.16
10217,Power Stakes,PS,1997.0,Sports,Aques,0.0,0.0,0.15,0.01,0.16
10218,World Series of Poker: Tournament of Champions 2007 Edition,X360,2006.0,Other,Activision,0.15,0.0,0.0,0.01,0.16
10219,Tom and Jerry in Fists of Furry,N64,2000.0,Fighting,Ubisoft,0.13,0.03,0.0,0.0,0.16
10220,Hydro Thunder,N64,2000.0,Racing,Midway Games,0.13,0.03,0.0,0.0,0.16
10221,Destruction Derby 64,N64,1999.0,Racing,THQ,0.13,0.03,0.0,0.0,0.16
10222,Space Invaders,N64,1999.0,Shooter,Activision,0.13,0.03,0.0,0.0,0.16
10223,Starcraft 64,N64,2000.0,Other,Nintendo,0.13,0.03,0.0,0.0,0.16
10224,Buck Bumble,N64,1998.0,Action-Adventure,Ubisoft,0.13,0.03,0.0,0.0,0.16
10225,California Speed,N64,1999.0,Other,Midway Games,0.13,0.03,0.0,0.0,0.16
10226,Wonder Project J2: Koruro no Mori no Josette,N64,1996.0,Simulation,Enix Corporation,0.0,0.0,0.12,0.04,0.16
10227,Asteroids Hyper 64,N64,1999.0,Shooter,Crave Entertainment,0.13,0.03,0.0,0.0,0.16
10228,The Powerpuff Girls: Chemical X-Traction,N64,2001.0,Action-Adventure,BAM! Entertainment,0.13,0.03,0.0,0.0,0.16
10229,Fighters Destiny,N64,1998.0,Fighting,Ocean,0.13,0.03,0.0,0.0,0.16
10230,Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.04,0.16
10231,The Crew,PC,2014.0,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16
10232,Ready 2 Rumble Revolution,Wii,2009.0,Sports,Atari,0.15,0.0,0.0,0.01,0.16
10233,Create,PS3,2010.0,Action-Adventure,Electronic Arts,0.11,0.03,0.0,0.02,0.16
10234,Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006.0,Other,TDK Core,0.0,0.0,0.16,0.0,0.16
10235,Macross Ace Frontier,PSP,2008.0,Simulation,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
10236,Black & Bruised,PS2,2003.0,Fighting,Vivendi Games,0.08,0.06,0.0,0.02,0.16
10237,Eragon,DS,2006.0,Action-Adventure,Vivendi Games,0.13,0.02,0.0,0.01,0.16
10238,TimeShift,PS3,2007.0,Shooter,Vivendi Games,0.14,0.0,0.0,0.01,0.16
10239,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
10240,Rapala Pro Fishing,XB,2004.0,Sports,Zoo Digital Publishing,0.12,0.03,0.0,0.01,0.16
10241,Spyro: Shadow Legacy,DS,2005.0,Action-Adventure,Vivendi Games,0.14,0.01,0.0,0.01,0.16
10242,Just Dance: Disney Party,X360,2012.0,Other,Ubisoft,0.13,0.02,0.0,0.02,0.16
10243,The Sims 3: Seasons,PC,2012.0,Simulation,Electronic Arts,0.0,0.13,0.0,0.02,0.16
10244,Our House,DS,2009.0,Other,Majesco Entertainment,0.15,0.0,0.0,0.01,0.16
10245,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action-Adventure,Activision,0.14,0.0,0.0,0.01,0.16
10246,Guilty Gear Xrd: Sign,PS4,2014.0,Fighting,Arc System Works,0.1,0.0,0.04,0.02,0.16
10247,Sid Meier's Pirates!,Wii,2010.0,Other,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16
10248,Scarface: Money. Power. Respect.,PSP,2006.0,Other,Vivendi Games,0.15,0.0,0.0,0.01,0.16
10249,Angry Birds Star Wars,XOne,2013.0,Other,Activision,0.11,0.04,0.0,0.02,0.16
10250,Ghost in the Shell: Stand Alone Complex,PS2,2004.0,Action-Adventure,Namco Bandai Games,0.08,0.06,0.0,0.02,0.16
10251,Blitz: The League,X360,2006.0,Sports,Midway Games,0.15,0.0,0.0,0.01,0.16
10252,Battle Soccer: Field no Hasha,SNES,1992.0,Sports,Banpresto,0.0,0.0,0.16,0.0,0.16
10253,Yakuza Kiwami,PS4,2016.0,Action-Adventure,Sega,0.0,0.0,0.16,0.0,0.16
10254,NBA 2K12,PC,2011.0,Sports,Take-Two Interactive,0.09,0.05,0.0,0.02,0.16
10255,Take A Break's: Puzzle Master,DS,2009.0,Puzzle,Ubisoft,0.0,0.15,0.0,0.01,0.16
10256,Ener-G: Dance Squad,DS,2008.0,Sports,Ubisoft,0.15,0.0,0.0,0.01,0.16
10257,Rudolph the Red-Nosed Reindeer,Wii,2010.0,Action-Adventure,Crave Entertainment,0.15,0.0,0.0,0.01,0.16
10258,FlatOut 2,PS2,2006.0,Racing,Empire Interactive,0.08,0.06,0.0,0.02,0.16
10259,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006.0,Fighting,Atari,0.14,0.0,0.0,0.01,0.16
10260,Despicable Me: The Game,PSP,2010.0,Platform,D3Publisher,0.05,0.08,0.0,0.03,0.16
10261,FIFA Soccer 96,PS,1995.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
10262,NCAA Final Four 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.09,0.06,0.0,0.01,0.16
10263,Heroes over Europe,PS3,2009.0,Simulation,Ubisoft,0.12,0.02,0.0,0.02,0.16
10264,J-League Jikkyou Winning Eleven 2000,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.01,0.16
10265,Eve: The Lost One,SAT,1998.0,Action-Adventure,Imagineer,0.0,0.0,0.16,0.0,0.16
10266,TNA iMPACT!,Wii,2008.0,Fighting,Midway Games,0.14,0.01,0.0,0.01,0.16
10267,Konami Krazy Racers,GBA,2001.0,Racing,Konami Digital Entertainment,0.09,0.03,0.04,0.0,0.16
10268,BioShock The Collection,XOne,2016.0,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16
10269,Watchmen: The End is Nigh - The Complete Experience,PS3,2009.0,Action-Adventure,Warner Bros. Interactive Entertainment,0.08,0.06,0.0,0.02,0.16
10270,Solitaire Overload Plus,DS,2010.0,Other,Telegames,0.15,0.0,0.0,0.01,0.16
10271,Saturday Night Slam Masters,SNES,1994.0,Fighting,Capcom,0.0,0.0,0.16,0.0,0.16
10272,F-Zero: GP Legend,GBA,2003.0,Racing,Nintendo,0.11,0.04,0.0,0.0,0.16
10273,Racing Lagoon,PS,1999.0,Racing,Square,0.0,0.0,0.15,0.01,0.16
10274,Vegas Party,Wii,Unknown,Other,Unknown,0.15,0.0,0.0,0.01,0.16
10275,Mr. Driller 2,GBA,2001.0,Puzzle,Namco Bandai Games,0.0,0.0,0.15,0.0,0.16
10276,Klonoa,Wii,2008.0,Platform,Namco Bandai Games,0.1,0.02,0.03,0.01,0.16
10277,Bulletstorm,PC,2011.0,Shooter,Electronic Arts,0.07,0.07,0.0,0.02,0.16
10278,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009.0,Sports,Sega,0.0,0.0,0.16,0.0,0.16
10279,Burger Island,DS,2008.0,Action-Adventure,Destineer,0.15,0.0,0.0,0.01,0.16
10280,Field Commander,PSP,2006.0,Other,Sony Online Entertainment,0.14,0.0,0.0,0.01,0.16
10281,Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007.0,Other,505 Games,0.15,0.0,0.0,0.01,0.16
10282,Around the World in 80 Days,DS,2010.0,Action-Adventure,PlayV,0.0,0.14,0.0,0.02,0.16
10283,"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,2009.0,Sports,Aspyr,0.15,0.0,0.0,0.01,0.16
10284,Custom Robo Arena,DS,2006.0,Fighting,Nintendo,0.01,0.02,0.12,0.0,0.16
10285,Ar Nosurge: Ode to an Unborn Star,PS3,2014.0,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16
10286,Power Rangers Double Pack,GBA,2005.0,Action-Adventure,THQ,0.11,0.04,0.0,0.0,0.16
10287,Imagine: Ice Champions,DS,2007.0,Sports,Spike,0.15,0.0,0.0,0.01,0.16
10288,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998.0,Other,Syscom,0.0,0.0,0.15,0.01,0.16
10289,FIFA Soccer 97,PS,1996.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
10290,Transformer: Rise of the Dark Spark,X360,2014.0,Action-Adventure,Activision,0.09,0.06,0.0,0.01,0.16
10291,Shaun White Skateboarding,X360,2010.0,Sports,Ubisoft,0.1,0.05,0.0,0.01,0.16
10292,Dragon Ball: Origins 2,DS,2010.0,Action-Adventure,Namco Bandai Games,0.05,0.01,0.08,0.01,0.16
10293,Psychic Force,PS,1996.0,Fighting,Acclaim Entertainment,0.01,0.01,0.13,0.01,0.16
10294,Trigger Man,PS2,2004.0,Shooter,Play It,0.08,0.06,0.0,0.02,0.16
10295,StarBlade Î±,PS,1995.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.15,0.01,0.16
10296,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,2008.0,Other,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16
10297,Wildstar,PC,2014.0,Role-Playing,NCSoft,0.08,0.07,0.0,0.01,0.16
10298,Family Party: 30 Great Games Outdoor Fun,Wii,2009.0,Other,D3Publisher,0.14,0.01,0.0,0.01,0.16
10299,Tiger Woods PGA Tour 2004,GC,2003.0,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.16
10300,Rudolph the Red-Nosed Reindeer,DS,2010.0,Action-Adventure,Crave Entertainment,0.15,0.0,0.0,0.01,0.16
10301,Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,2008.0,Action-Adventure,Activision,0.12,0.02,0.0,0.02,0.16
10302,Culdcept,3DS,2012.0,Other,Nintendo,0.0,0.0,0.16,0.0,0.16
